/home/daci3090/data3090/Software/environment/anaconda3/envs/geyucheng_poly/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
========================
Namespace(seed=42, epochs=2000, lr=0.0002, weight_decay=0.0, attn_lr=0.01, attn_wd=0.001, early_stopping=250, hidden=128, dropout=0.4, dprate=0.6, n_head=8, d_ffn=512, q=2.0, multi=0.5, K=10, nlayer=2, base='mono', dataset='ogbn-arxiv', device_idx=0, net='PolyFormer', runs=1, metric='acc', test=1, batch_size=10000)
----------------------------------------------------------------------------------------------------
2026-03-25 11:28:39
Number of labels for ogbn-arxiv_split_0_K_10_mono 40
cuda:0 ./pretrained/5c348440f504499c92140daecfffa6b0.pt
Epoch:0071 train loss:1.075 acc:69.11 | val loss:0.998 acc:71.63
Epoch:0072 train loss:1.077 acc:69.08 | val loss:1.028 acc:71.55
Epoch:0073 train loss:1.066 acc:69.40 | val loss:0.994 acc:71.67
Epoch:0074 train loss:1.060 acc:69.56 | val loss:1.014 acc:71.59
Epoch:0075 train loss:1.059 acc:69.56 | val loss:1.021 acc:71.64
Epoch:0076 train loss:1.059 acc:69.40 | val loss:0.983 acc:71.78
Epoch:0077 train loss:1.050 acc:69.80 | val loss:1.004 acc:71.47
Epoch:0078 train loss:1.058 acc:69.73 | val loss:1.000 acc:71.80
Epoch:0079 train loss:1.046 acc:69.82 | val loss:0.998 acc:71.49
Epoch:0080 train loss:1.044 acc:69.69 | val loss:1.018 acc:70.90
Epoch:0081 train loss:1.048 acc:69.82 | val loss:0.981 acc:72.09
Epoch:0082 train loss:1.039 acc:70.16 | val loss:0.973 acc:72.12
Epoch:0083 train loss:1.035 acc:70.03 | val loss:1.032 acc:71.77
Epoch:0084 train loss:1.039 acc:70.11 | val loss:0.994 acc:71.80
Epoch:0085 train loss:1.039 acc:69.98 | val loss:0.987 acc:72.06
Epoch:0086 train loss:1.030 acc:70.23 | val loss:1.000 acc:71.91
Epoch:0087 train loss:1.033 acc:70.28 | val loss:0.998 acc:72.07
Epoch:0088 train loss:1.034 acc:70.13 | val loss:0.959 acc:72.51
Epoch:0089 train loss:1.027 acc:70.40 | val loss:1.003 acc:71.60
Epoch:0090 train loss:1.020 acc:70.58 | val loss:0.986 acc:72.18
Epoch:0091 train loss:1.023 acc:70.47 | val loss:1.003 acc:71.90
Epoch:0092 train loss:1.019 acc:70.58 | val loss:0.991 acc:71.75
Epoch:0093 train loss:1.018 acc:70.34 | val loss:1.024 acc:71.61
Epoch:0094 train loss:1.018 acc:70.46 | val loss:1.000 acc:72.00
Epoch:0095 train loss:1.011 acc:70.61 | val loss:0.982 acc:72.39
Epoch:0096 train loss:1.010 acc:70.82 | val loss:0.981 acc:72.27
Epoch:0097 train loss:1.008 acc:70.75 | val loss:0.979 acc:71.98
Epoch:0098 train loss:1.002 acc:71.02 | val loss:1.000 acc:72.19
Epoch:0099 train loss:1.002 acc:70.86 | val loss:0.974 acc:72.41
Epoch:0100 train loss:1.004 acc:71.07 | val loss:0.992 acc:72.30
Epoch:0101 train loss:1.001 acc:70.91 | val loss:1.013 acc:71.31
Epoch:0102 train loss:0.997 acc:70.94 | val loss:0.977 acc:72.28
Epoch:0103 train loss:1.000 acc:70.91 | val loss:1.018 acc:71.86
Epoch:0104 train loss:0.995 acc:71.09 | val loss:0.987 acc:72.02
Epoch:0105 train loss:0.993 acc:71.30 | val loss:0.977 acc:72.39
Epoch:0106 train loss:0.990 acc:71.12 | val loss:0.976 acc:72.19
Epoch:0107 train loss:0.993 acc:71.29 | val loss:0.995 acc:72.10
Epoch:0108 train loss:0.990 acc:71.30 | val loss:0.981 acc:72.05
Epoch:0109 train loss:0.984 acc:71.35 | val loss:0.999 acc:72.13
Epoch:0110 train loss:0.983 acc:71.52 | val loss:0.995 acc:72.02
Epoch:0111 train loss:0.982 acc:71.36 | val loss:0.989 acc:72.53
Epoch:0112 train loss:0.978 acc:71.57 | val loss:0.986 acc:72.24
Epoch:0113 train loss:0.979 acc:71.43 | val loss:0.987 acc:72.28
Epoch:0114 train loss:0.974 acc:71.65 | val loss:0.971 acc:72.47
Epoch:0115 train loss:0.976 acc:71.58 | val loss:0.990 acc:72.39
Epoch:0116 train loss:0.974 acc:71.68 | val loss:0.989 acc:72.56
Epoch:0117 train loss:0.974 acc:71.52 | val loss:0.995 acc:72.07
Epoch:0118 train loss:0.973 acc:71.57 | val loss:0.992 acc:72.18
Epoch:0119 train loss:0.966 acc:71.78 | val loss:0.981 acc:72.81
Epoch:0120 train loss:0.975 acc:71.75 | val loss:0.981 acc:72.30
Epoch:0121 train loss:0.963 acc:71.91 | val loss:0.992 acc:72.11
Epoch:0122 train loss:0.961 acc:71.95 | val loss:0.968 acc:72.81
Epoch:0123 train loss:0.966 acc:71.97 | val loss:0.978 acc:72.49
Epoch:0124 train loss:0.961 acc:72.02 | val loss:0.953 acc:72.77
Epoch:0125 train loss:0.962 acc:71.92 | val loss:0.961 acc:72.67
Epoch:0126 train loss:0.953 acc:72.19 | val loss:0.979 acc:72.42
Epoch:0127 train loss:0.957 acc:72.09 | val loss:0.958 acc:72.74
Epoch:0128 train loss:0.952 acc:72.24 | val loss:0.983 acc:72.90
Epoch:0129 train loss:0.950 acc:72.30 | val loss:0.974 acc:72.65
Epoch:0130 train loss:0.948 acc:72.25 | val loss:0.972 acc:72.58
Epoch:0131 train loss:0.951 acc:72.22 | val loss:0.988 acc:72.46
Epoch:0132 train loss:0.954 acc:72.08 | val loss:0.958 acc:72.71
Epoch:0133 train loss:0.946 acc:72.22 | val loss:0.990 acc:72.49
Epoch:0134 train loss:0.944 acc:72.32 | val loss:0.975 acc:73.06
Epoch:0135 train loss:0.945 acc:72.31 | val loss:0.992 acc:72.72
Epoch:0136 train loss:0.945 acc:72.35 | val loss:0.974 acc:72.65
Epoch:0137 train loss:0.941 acc:72.48 | val loss:0.980 acc:72.63
Epoch:0138 train loss:0.941 acc:72.60 | val loss:0.985 acc:72.57
Epoch:0139 train loss:0.936 acc:72.56 | val loss:1.003 acc:72.28
Epoch:0140 train loss:0.936 acc:72.69 | val loss:0.970 acc:72.60
Epoch:0141 train loss:0.939 acc:72.46 | val loss:0.982 acc:72.49
Epoch:0142 train loss:0.937 acc:72.47 | val loss:0.985 acc:72.31
Epoch:0143 train loss:0.936 acc:72.45 | val loss:0.950 acc:72.85
Epoch:0144 train loss:0.932 acc:72.92 | val loss:0.981 acc:72.69
Epoch:0145 train loss:0.927 acc:72.76 | val loss:0.955 acc:72.96
Epoch:0146 train loss:0.931 acc:72.73 | val loss:0.967 acc:72.96
Epoch:0147 train loss:0.928 acc:72.75 | val loss:0.981 acc:72.32
Epoch:0148 train loss:0.924 acc:72.99 | val loss:0.968 acc:72.27
Epoch:0149 train loss:0.930 acc:72.77 | val loss:0.951 acc:72.93
Epoch:0150 train loss:0.919 acc:72.93 | val loss:1.004 acc:72.18
Epoch:0151 train loss:0.924 acc:72.94 | val loss:0.969 acc:72.42
Epoch:0152 train loss:0.924 acc:72.86 | val loss:0.963 acc:72.72
Epoch:0153 train loss:0.918 acc:72.99 | val loss:0.972 acc:72.64
Epoch:0154 train loss:0.912 acc:73.31 | val loss:0.994 acc:72.48
Epoch:0155 train loss:0.918 acc:72.95 | val loss:0.999 acc:72.01
Epoch:0156 train loss:0.917 acc:73.10 | val loss:0.949 acc:73.02
Epoch:0157 train loss:0.915 acc:73.09 | val loss:0.960 acc:72.65
Epoch:0158 train loss:0.911 acc:73.25 | val loss:1.010 acc:72.31
Epoch:0159 train loss:0.907 acc:73.44 | val loss:0.977 acc:72.61
Epoch:0160 train loss:0.906 acc:73.36 | val loss:0.966 acc:73.10
Epoch:0161 train loss:0.909 acc:73.40 | val loss:0.972 acc:72.95
Epoch:0162 train loss:0.907 acc:73.27 | val loss:0.981 acc:72.90
Epoch:0163 train loss:0.908 acc:73.46 | val loss:0.961 acc:72.90
Epoch:0164 train loss:0.899 acc:73.57 | val loss:0.979 acc:72.82
Epoch:0165 train loss:0.904 acc:73.49 | val loss:0.992 acc:72.29
Epoch:0166 train loss:0.902 acc:73.35 | val loss:0.945 acc:73.07
Epoch:0167 train loss:0.900 acc:73.65 | val loss:0.976 acc:72.67
Epoch:0168 train loss:0.900 acc:73.42 | val loss:0.991 acc:72.38
Epoch:0169 train loss:0.902 acc:73.51 | val loss:0.967 acc:73.12
Epoch:0170 train loss:0.899 acc:73.32 | val loss:0.982 acc:72.55
Epoch:0171 train loss:0.895 acc:73.67 | val loss:0.971 acc:72.83
Epoch:0172 train loss:0.895 acc:73.74 | val loss:0.974 acc:72.43
Epoch:0173 train loss:0.892 acc:73.59 | val loss:0.961 acc:72.88
Epoch:0174 train loss:0.893 acc:73.67 | val loss:0.986 acc:72.85
Epoch:0175 train loss:0.889 acc:73.77 | val loss:0.969 acc:72.80
Epoch:0176 train loss:0.890 acc:73.81 | val loss:0.982 acc:72.40
Epoch:0177 train loss:0.887 acc:73.73 | val loss:0.975 acc:72.41
Epoch:0178 train loss:0.888 acc:73.76 | val loss:0.956 acc:72.87
Epoch:0179 train loss:0.890 acc:73.95 | val loss:0.965 acc:72.57
Epoch:0180 train loss:0.886 acc:73.88 | val loss:0.974 acc:73.04
Epoch:0181 train loss:0.887 acc:73.91 | val loss:0.951 acc:72.70
Epoch:0182 train loss:0.885 acc:73.82 | val loss:1.001 acc:72.21
Epoch:0183 train loss:0.892 acc:73.65 | val loss:0.961 acc:73.02
Epoch:0184 train loss:0.881 acc:74.02 | val loss:0.973 acc:72.62
Epoch:0185 train loss:0.880 acc:74.04 | val loss:0.975 acc:72.26
Epoch:0186 train loss:0.880 acc:73.87 | val loss:0.971 acc:72.90
Epoch:0187 train loss:0.877 acc:74.18 | val loss:0.959 acc:72.77
Epoch:0188 train loss:0.875 acc:74.11 | val loss:0.974 acc:72.69
Epoch:0189 train loss:0.876 acc:74.21 | val loss:0.958 acc:72.72
Epoch:0190 train loss:0.877 acc:74.18 | val loss:0.976 acc:72.41
Epoch:0191 train loss:0.870 acc:74.10 | val loss:0.975 acc:72.93
Epoch:0192 train loss:0.871 acc:74.16 | val loss:0.946 acc:72.76
Epoch:0193 train loss:0.873 acc:74.34 | val loss:0.975 acc:72.43
Epoch:0194 train loss:0.870 acc:74.13 | val loss:0.966 acc:72.73
Epoch:0195 train loss:0.872 acc:74.28 | val loss:0.973 acc:72.99
Epoch:0196 train loss:0.872 acc:74.31 | val loss:0.965 acc:72.56
Epoch:0197 train loss:0.871 acc:74.14 | val loss:0.963 acc:72.70
Epoch:0198 train loss:0.866 acc:74.26 | val loss:0.961 acc:73.06
Epoch:0199 train loss:0.864 acc:74.35 | val loss:0.968 acc:72.88
Epoch:0200 train loss:0.866 acc:74.44 | val loss:0.968 acc:72.85
Epoch:0201 train loss:0.864 acc:74.35 | val loss:0.970 acc:73.09
Epoch:0202 train loss:0.865 acc:74.18 | val loss:0.982 acc:72.74
Epoch:0203 train loss:0.863 acc:74.49 | val loss:0.990 acc:72.59
Epoch:0204 train loss:0.861 acc:74.42 | val loss:0.967 acc:73.07
Epoch:0205 train loss:0.857 acc:74.49 | val loss:0.979 acc:72.43
Epoch:0206 train loss:0.856 acc:74.57 | val loss:0.972 acc:72.86
Epoch:0207 train loss:0.858 acc:74.46 | val loss:0.997 acc:72.48
Epoch:0208 train loss:0.858 acc:74.55 | val loss:0.990 acc:72.76
Epoch:0209 train loss:0.858 acc:74.42 | val loss:0.970 acc:72.91
Epoch:0210 train loss:0.857 acc:74.46 | val loss:0.992 acc:72.36
Epoch:0211 train loss:0.855 acc:74.43 | val loss:0.978 acc:72.73
Epoch:0212 train loss:0.852 acc:74.77 | val loss:0.982 acc:73.27
Epoch:0213 train loss:0.851 acc:74.86 | val loss:0.979 acc:72.51
Epoch:0214 train loss:0.851 acc:74.73 | val loss:0.992 acc:72.54
Epoch:0215 train loss:0.846 acc:74.79 | val loss:0.990 acc:73.09
Epoch:0216 train loss:0.847 acc:74.69 | val loss:0.966 acc:73.03
Epoch:0217 train loss:0.850 acc:74.84 | val loss:0.966 acc:72.72
Epoch:0218 train loss:0.848 acc:74.92 | val loss:0.966 acc:72.98
Epoch:0219 train loss:0.846 acc:74.77 | val loss:0.966 acc:73.05
Epoch:0220 train loss:0.842 acc:74.78 | val loss:0.978 acc:72.89
Epoch:0221 train loss:0.840 acc:75.00 | val loss:0.971 acc:73.06
Epoch:0222 train loss:0.839 acc:75.22 | val loss:0.976 acc:72.73
Epoch:0223 train loss:0.839 acc:75.04 | val loss:0.957 acc:73.03
Epoch:0224 train loss:0.835 acc:75.10 | val loss:0.957 acc:72.87
Epoch:0225 train loss:0.839 acc:75.12 | val loss:0.977 acc:72.77
Epoch:0226 train loss:0.837 acc:74.88 | val loss:0.960 acc:72.79
Epoch:0227 train loss:0.836 acc:75.28 | val loss:0.962 acc:72.98
Epoch:0228 train loss:0.832 acc:75.02 | val loss:0.983 acc:72.71
Epoch:0229 train loss:0.838 acc:74.80 | val loss:0.954 acc:73.12
Epoch:0230 train loss:0.833 acc:75.02 | val loss:0.980 acc:72.73
Epoch:0231 train loss:0.834 acc:75.03 | val loss:0.981 acc:72.79
Epoch:0232 train loss:0.833 acc:74.88 | val loss:0.954 acc:72.97
Epoch:0233 train loss:0.831 acc:75.26 | val loss:0.980 acc:72.68
Epoch:0234 train loss:0.831 acc:75.26 | val loss:0.971 acc:73.01
Epoch:0235 train loss:0.832 acc:75.20 | val loss:0.976 acc:72.87
Epoch:0236 train loss:0.831 acc:75.18 | val loss:0.945 acc:73.17
Epoch:0237 train loss:0.829 acc:75.22 | val loss:0.978 acc:72.27
Epoch:0238 train loss:0.826 acc:75.27 | val loss:0.961 acc:73.43
Epoch:0239 train loss:0.823 acc:75.34 | val loss:0.974 acc:72.92
Epoch:0240 train loss:0.832 acc:75.21 | val loss:0.986 acc:72.69
Epoch:0241 train loss:0.824 acc:75.41 | val loss:0.972 acc:72.98
Epoch:0242 train loss:0.821 acc:75.31 | val loss:0.969 acc:73.25
Epoch:0243 train loss:0.822 acc:75.44 | val loss:0.968 acc:72.95
Epoch:0244 train loss:0.822 acc:75.39 | val loss:0.976 acc:72.92
Epoch:0245 train loss:0.824 acc:75.43 | val loss:0.990 acc:72.65
Epoch:0246 train loss:0.820 acc:75.60 | val loss:0.964 acc:72.94
Epoch:0247 train loss:0.823 acc:75.31 | val loss:0.971 acc:72.56
Epoch:0248 train loss:0.818 acc:75.44 | val loss:0.981 acc:72.99
Epoch:0249 train loss:0.818 acc:75.49 | val loss:0.975 acc:73.01
Epoch:0250 train loss:0.822 acc:75.56 | val loss:0.968 acc:72.88
Epoch:0251 train loss:0.819 acc:75.52 | val loss:0.961 acc:73.16
Epoch:0252 train loss:0.814 acc:75.66 | val loss:0.968 acc:72.81
Epoch:0253 train loss:0.812 acc:75.75 | val loss:0.996 acc:73.01
Epoch:0254 train loss:0.816 acc:75.52 | val loss:0.977 acc:73.02
Epoch:0255 train loss:0.817 acc:75.77 | val loss:0.953 acc:73.36
Epoch:0256 train loss:0.814 acc:75.62 | val loss:0.967 acc:72.85
Epoch:0257 train loss:0.814 acc:75.79 | val loss:0.959 acc:73.07
Epoch:0258 train loss:0.813 acc:75.68 | val loss:0.977 acc:72.86
Epoch:0259 train loss:0.808 acc:75.65 | val loss:0.984 acc:73.09
Epoch:0260 train loss:0.807 acc:75.81 | val loss:0.986 acc:73.04
Epoch:0261 train loss:0.808 acc:75.73 | val loss:0.966 acc:73.15
Epoch:0262 train loss:0.810 acc:75.80 | val loss:0.982 acc:72.39
Epoch:0263 train loss:0.804 acc:75.90 | val loss:0.973 acc:72.98
Epoch:0264 train loss:0.805 acc:75.97 | val loss:0.968 acc:73.03
Epoch:0265 train loss:0.805 acc:75.83 | val loss:0.956 acc:73.20
Epoch:0266 train loss:0.805 acc:75.81 | val loss:0.964 acc:72.85
Epoch:0267 train loss:0.804 acc:75.90 | val loss:0.972 acc:72.85
Epoch:0268 train loss:0.803 acc:75.93 | val loss:0.963 acc:72.96
